Sıra No;Kitap Adı;Yazar Adı;Özgün Adı;Çevirmen;Serideki Yayın Yılı;Tanıtım Bülteni
27;"Resimli Adam";"Ray Bradbury";"The Illustrated Man";"İlker Sönmez";2017;"Ray Bradbury sadece bilimkurgunun değil fantastik edebiyatın ve korkunun da yirminci yüzyıldaki ustalarından biri. Bilimkurgunun ""iyi edebiyat"" da olabileceğini kanıtlayan belki de ilk yazar. Tüm yeteneklerini sergilediği ve çerçeve öykü formatında yazdığı Resimli Adam ise modern bireyin psikolojisine ve teknolojik ilerlemenin karanlık yanına ışık tutan eşsiz bir öykü derlemesi.

Tüm vücudu, hareket eden dövmelerle kaplı Resimli Adam bu durumundan dolayı neredeyse kırk yıldır kalıcı bir iş bulamamıştır hatta karnavallarda bile çalışamıyordur artık. Çünkü lanetli bedeninin üzerindeki dövmeler geleceği göstermektedir. Yanında belli bir süre geçiren kişinin kaderi Resimli Adam'ın bedeninde görünüverir.

Dövmeleri üzerinden hikâyeler bir bir ortaya dökülür. Bir çocuğun hayalleri kadar naif, bir bilim insanının gerçekleri kadar kuvvetli toplam on yedi öykü Resimli Adam'ın vücudunda hayat bulur.

Ölümden inançlara, nükleer savaştan ırkçılığa, dünyanın sonundan uzaydaki yalnızlığımıza kadar insanlığa dair birçok konuya değinen Bradbury, hayallerimizle hakikati karşı karşıya getirip eleştiren, düşündüren ve dehşete düşüren bir bilimkurgu klasiği ortaya çıkarıyor.

Resimli Adam, bilimkurgunun kaleydoskopu."
28;"Yenilmez";"Stanislaw Lem";"Niezwyciężony";"Seda Köycü";2017;"Solaris'in yazarı Stanislaw Lem'den, H. G. Wells ve Jules Verne gibi ustaların izlerini takip eden bir bilimkurgu klasiği: Yenilmez.

Bilinmeyen bir gezegene yolculuğa giden uzay gemisinin Dünya ile bağlantısı bilinmedik sebeplerden ötürü kesilir. Regis III adlı bu gezegende başta kaptan Rohan olmak üzere geminin tüm mürettebatı insanlığın en büyük ikilemlerinden biriyle yüzleşecektir: İnsan, bilgisinin sınırlarının farkına vardığında verebileceği kararlar ne kadar güvenilirdir?

Mantık çerçevesinin çok ötesinde bir durumdayken bu soru üzerinden kendini bulmaya çalışan ekip, şimdiye dek anlatılmış en dehşet verici uzay yolculuklarından birinin parçası olacaktır. Yenilmez gemisinin mürettebatı bilinçli adımlar atan bir gezegenle yüzleşmek zorundadır."
29;"Dünyalar Savaşı";"H.G. Wells";"War of the Worlds";"Ali Kaftan";2017;"""Bu bir savaş değil. Hiçbir zaman savaş olmadı; insanlarla karıncalar arasındaki bir savaştan daha fazlası değil bu.""

H.G. Wells, bilimkurgunun atası, türe adını altın harflerle yazdırmış en büyük yazarlardan. Zaman Makinesi, Görünmez Adam, Doktor Moreau'nun Adası gibi eserleri ve düşünceleriyle âdeta zamanın ötesinden gelen bir yazar olan Wells, Dünyalar Savaşı'nda istila altındaki umutsuz ve çaresiz bir gezegenin hikâyesini anlatıyor: Dünya'nın.

Gökyüzünden İngiltere'nin güneyine düşen silindirlerin yarattığı merak hemen sonra yerini korkuya bırakmıştır. Dünya, Mars'tan gelen canlıların istilası altındadır. Henüz ne olduğunu anlayamadan Marslılar tarafından katledilmeye başlayan insanlar, var güçleriyle karşılık vermeye ve direnmeye çalışırlar.

Uzaylıların kontrolü altındaki İngiltere'de adsız anlatıcının tanıklıkları, insanlığın kaygı verici ümitsizliğinin ve hayatta kalma mücadelesinin karanlık bir portresini çizer. İnsanlığın Dünya üzerindeki binlerce yıllık hükümdarlığı son mu bulacaktır, yoksa bir kurtuluş ihtimali var mıdır?"
30;"Yüzyılın En İyi Bilimkurgu Öyküleri";"Orson Scott Card (Editör)";"The Best Science Fiction of the Century";"Kolektif";2018;"Yirminci yüzyıl bilimkurgunun temellerinin atıldığı, pulptan ciddi edebiyata evrildiği ve tüm zamanların en popüler türlerinden birine dönüştüğü bir zaman aralığı. Bu yüz senelik süreç içerisinde tür kendisine ait bir geçmiş oluşturdu ve toplu bir yaklaşımla ele alınabilecek hale geldi.

Yüzyılın En İyi Bilimkurgu Öyküleri'nde Orson Scott Card bu türü ve dolaylı olarak da kültürü dönüştüren yazarları ve onların öne çıkan öykülerini titizlikle seçip eşsiz bir panorama sunuyor. Card'ın dediği gibi bu derleme, ""Bir hazine. Bir mücevher koleksiyonu.""

Isaac Asimov, Arthur C. Clarke, Robert A. Heinlein, Ursula K. Le Guin, Ray Bradbury, Frederik Pohl, Harlan Ellison, George Alec Effinger, Brian W. Aldiss, William Gibson & Michael Swanwick, Theodore Sturgeon, Larry Niven, Robert Silverberg, Harry Turtledove, James Blish, George R. R. Martin, James Patrick Kelly, Karen Joy Fowler, Lloyd Biggle, Jr., Terry Bisson, Poul Anderson, John Kessel, R.A. Lafferty, C.J. Cherryh, Lisa Goldstein ve Edmond Hamilton."
31;"Uzayda Piknik";"Strugatski Kardeşler";"Roadside Picnic";"Hazal Yalın";2018;"Arkadi ve Boris Strugatski, entelektüel açıdan kışkırtıcı, inanılmaz eğlenceli, cesur ve eleştirel kitaplarıyla ""Sovyetler döneminin en büyük bilimkurgu yazarları"" sıfatını hak eden yegâne ikili. Uzayda Piknik ise yazarların en ünlü ve ilham verici romanı.

Uzaylılar dünyanın beş bölgesini ziyaret etmiş ve giderken geriye ""atıklarını"" bırakmışlardır. Bu atıklar, tüm dünyada bir gizem yaratır ve endüstri ve bilim çevrelerinin de odak noktası haline gelir. Atıkların bulunduğu yerler ""bölge"" olarak adlandırılarak karantina altına alınır ve bu bölgeler çevrelerindeki şehirleri ekonomik ve sosyal açıdan etkilemeye başlar.

Redrick Schuhart, bölgeden uzaylı atıklarını kaçırıp satan bir ""stalker"" yani bir iz sürücüdür. Çoğu insan gibi, hayatı yasak ""bölge"" tarafından şekillendirilen Red ve bilim insanı arkadaşı Kiril'in bir ""zamazingo"" elde etmek amacıyla buraya yaptıkları yolculuk ise beklenmedik olaylara sebep olur… Tarkovski'nin Stalker ismiyle beyaz perdeye uyarladığı felsefi hikâye de işte burada başlar. Uzaylıların dünyaya yaptığı bu ziyaret bir piknikten mi ibarettir? Yoksa arkasında insan aklının alamayacağı bir gizem mi yatmaktadır?"
32;"Fahrenheit 451";"Ray Bradbury";"";"Dost Körpe";2018;"Ray Bradbury sadece bilimkurgunun değil fantastik edebiyatın ve korkunun da yirminci yüzyıldaki ustalarından biri. Bilimkurgunun ""iyi edebiyat"" da olabileceğini kanıtlayan belki de ilk yazar. Yayımlandığı anda klasikleşen, distopya edebiyatının dört temel kitabından biri olan Fahrenheit 451 ise bir yirminci yüzyıl başyapıtı.

Guy Montag bir itfaiyeciydi. Televizyonun hüküm sürdüğü bu dünyada kitaplar ise yok olmak üzereydi zira itfaiyeciler yangın söndürmek yerine ortalığı ateşe veriyordu. Montag'ın işi ise yasadışı olanların en tehlikelisini yakmaktı: Kitapları.

Montag yaptığı işi tek bir gün dahi sorgulamamıştı ve tüm gününü televizyonla kaplı odalarda geçiren eşi Mildred'la beraber yaşıyordu. Ancak yeni komşusu Clarisse'le tanışmasıyla tüm hayatı değişti. Kitapların değerini kavramaya başlayan Montag artık tüm bildiklerini sorgulayacaktı.

İnsanların uğruna canlarını feda etmeyi göze aldığı bu kitapların içinde ne vardı? Gerçeklerin farkına vardıktan sonra bu karanlık toplumda artık yaşanabilir miydi?

Fahrenheit 451, yeryüzünde tek bir kitap kalacak olsa, o kitap olmaya aday."
33;"Uzaktan Kumandalı Kız";"James Tiptree, Jr.";"The Girl Who Was Plugged In";"Begüm Kovulmaz";2018;"Alice B. Sheldon 1967 yılında James Tiptree Jr. adıyla bilimkurgu yazmaya başladığında kimse onun aslında bir kadın olduğunu bilmiyordu. Bu durum ortaya çıktığında ise insanlar ne şaşkınlıklarını gizleyebilmiş ne de yazarı takdir etmekten kendilerini alabilmişti. Ötekilikten cinsiyete, gerçeğin yanıltıcılığından insanın evrendeki yerine kadar pek çok konuyu eşsiz üslubuyla anlattığı onlarca eserinin en önemlilerinden biri olan Uzaktan Kumandalı Kız'da ise Tiptree yalnızca kendisinin yazabileceği, feminist, antikapitalist bir siberpunk hikâye ortaya koyuyor. Kurumlarca yönetilen bir yakın gelecek. Reklamların yasaklandığı bir distopya. Bu durumla baş etmek için farklı yöntemler deneyen şirketler. Bu mücadele sonucunda ortaya çıkan ve tek görevleri alışveriş yaparken görüntülenip subliminal reklamların bir parçası olmak olan popüler kültür ikonları – yani geleceğin tanrıları.

Kendi halinde bir kız olan ve hastalığından dolayı fiziksel olarak fazlasıyla deforme hatta çirkin P. Burke hiç beklemediği bir anda hayatının fırsatıyla karşılaşır. Elinde artık bir tanrı olma fırsatı vardır, hem de insan elinin ürettiği en güzel canlılardan biri olarak, Delphi olarak. Kilometrelerce öteden P. Burke'ün kumanda etmesiyle dünyayı sarsmaya başlayan Delphi şöhret basamaklarını hızla tırmanırken bu akıldan yoksun Kumandalı'nın arkasındaki Burke de yaşam amacını bulmuş gibidir. Ta ki bu sahte bedenini fazla benimseyip âşık olana dek.

İnsanı insan yapan bilinci midir? Ruh mu bedene hapistir yoksa beden mi ruha?"
34;"Yakma Zevki: Fahrenheit 451 Öyküleri";"Ray Bradbury";"A Pleasure to Burn: Fahrenheit 451 Stories";"Murat Özbank";2018;"Ray Bradbury sadece bilimkurgunun değil fantastik edebiyatın ve korkunun da yirminci yüzyıldaki ustalarından biri. Bilimkurgunun ""iyi edebiyat"" da olabileceğini kanıtlayan belki de ilk yazar. Bradbury'nin ölümünden sadece iki sene önce derlenen ve klasik eseri Fahrenheit 451'in geçtiği yolları haritalandıran Yakma Zevki ise bir yazarın edebi süreci içinde çıkılan hayret verici bir yolculuk.

Kültürün homojenleşmesi, teknolojinin beraberinde duyarsız bir dünya getirmesi, insanların geçmişleriyle olan bağlarının kopması… Fahrenheit 451'de olduğu gibi, Yakma Zevki'ni oluşturan öyküler de bu konuları işliyor.

Ray Bradbury'nin kariyerinin farklı dönemlerinden 14 öykünün yanı sıra Fahrenheit 451'in öncül versiyonları olan ""Geceyarısından Epey Sonra"" ve ""İtfaiyeci"" öykülerini de bu derlemede bulabilirsiniz.

Kültür, teknolojiyle birlikte yok olmaya mahkûm mudur? Yoksa teknoloji, kültürün evriminin bir sonraki basamağı mıdır?

Yakma Zevki, bir klasiğin kıvılcımı."
35;"İşte İnsan";"Michael Moorcock";"Behold The Man";"Barış Tanyeri";2018;"Tolkien sonrası fantastik edebiyatın öncü ve en önemli yazarlarından olan Michael Moorcock yalnızca yarattığı efsanevi karakteri Elric'le değil, Yeni Dalga akımının yükselmesine sebep olan editörlüğüyle de türün kaderini doğrudan etkilemiş ender yazarlardan. Moorcock'ın kendi sınırlarını bile zorlayıp tabuları yerle bir ettiği bilimkurgu kitabı İşte İnsan ise Jungcu psikoloji temel alınarak yazılmış en cüretkâr zaman yolculuğu romanlarından biri.

Kafası sorularla dolu, problemli bir genç olan Karl Glogauer, İsa Peygamber'in son aylarına tanıklık etmek için zaman makinesiyle 1970 yılından M.S. 29 yılına yolculuk eder. Kutsal Topraklar'da Vaftizci Yahya ile karşılaşan Glogauer, bu mucizelerle dolu bölgede Nasıra'ya ulaşmak ve İsa'yı bulmak için yola çıkar.

İsa'yı bulduğunda ise hikâye oldukça çetrefilli bir hal alır zira bu tarihi figür, Nasıra'da bir marangoz dükkânının gölgelerinde saklanan ve değil peygamber olmak, hayatta kalmak için bile başkalarına ihtiyaç duyan bir insandır. Gelecekte vuku bulmuş geçmişinin peşini bırakmayan hayaletleriyle, insanlık tarihinin olması gerektiği gibi yaşanmasını sağlamak için harekete geçen Glogauer, hem yolculuğun sonuna hem de sorularının yanıtlarına adım adım yaklaşır.

Tarih değişmesin diye tarihe müdahale etmenin bedeli nedir? Fikir mi gerçekliğin sebebidir yoksa gerçeklik mi fikrin?

İşte İnsan, yanlış sorulara verilen doğru bir cevap."
36;"Bir Mars Destanı";"Stanley G. Weinbaum";"A Martian Odyssey";"Cihan Karamancı";2018;"Asimov'un deyişiyle bilimkurgunun üç büyük novasından biri olan Stanley G. Weinbaum, bir buçuk yıllık yazarlık kariyerine ve trajik ölümüne rağmen erken dönem Altın Çağ'ın en başarılı yazarlarından biri. Hem ilk hem de en önemli öyküsü ""Bir Mars Destanı"" da bilimkurguyu kökten değiştiren ve uzaylı algısında devrim yapan gerçek bir klasik.

Yakın gelecekte insanlık Mars'a sefere çıkar ve mürettebatın asi üyesi Dick Jarvis'in başından beklenmedik bir olay geçer: Mars'ta yepyeni bir ırkla tanışır; devekuşu benzeri Tviil'le. Ancak Mars'taki tek hayat formu Tviil değildir. Onun yardımıyla Jarvis, ""Bir Mars Destanı"" ve devam öyküsü ""Hayaller Vadisi""nde Mars'ın diğer mucizeleriyle de karşılaşacaktır.

Bu iki klasik öyküye ek olarak Weinbaum'un yarattığı bir diğer çarpıcı karakter olan Profesör Manderpootz'un yer aldığı ""Eğer Dünyaları"" ve ""İdeal""in yanı sıra ters giden bir bilimsel deneyi anlatan ""Uyumun Doruğu"", uzaylı ekolojilerine yoğunlaşan saykedelik öykü ""Üşütük Ay"" ve sanal gerçekliği işleyen ilk öykülerden ""Pygmalion'un Gözlüğü"" de bu derlemede kendine yer buluyor.

Bir Mars Destanı, modern bilimkurgunun ilk adımları."
37;"Bu Ölümsüz";"Roger Zelazny";"This Immortal";"Sönmez Güven";2018;"Roger Zelazny, farklı mitolojileri bilimkurgu romanlarına uyarlamasıyla pek çok yazarın yalnızca hayal edebildiği bir şeyi alışkanlık haline getirmiş eşsiz bir yazar. Yunan mitolojisiyle harmanlanan Bu Ölümsüz ise hem Zelazny'nin ilk romanı olması hem de Hugo En İyi Roman Ödülü'nü Dune gibi bir başyapıtla paylaşması sebebiyle bilimkurgudaki kilometre taşlarından biri.

Nükleer savaş Dünya'yı neredeyse yerle bir etmiş, yalnızca dört milyon insan ve bundan çok daha fazla sayıda mutasyona uğramış canlı türü geride kalmıştır. Evrenin en güçlü uzaylı ırklarından biri olan Vegalılar için bu harabe gezegen artık turistik bir bölgeden farksızdır.

Nüfuzlu bir Vegalıyı, Dünya'da gezdirme görevi verildiğinde tüm bilinmezliklerin düğüm noktasındaki Conrad Nomikos bu buyruğu gönülsüzce kabul eder. Bu yolculukta Conrad'ın ve Dünya'nın kaderi yeniden şekillenecektir zira ne Conrad sadece bir insandır ne de bu yolculuk yalnızca turistik bir gezidir.

Ölümün pençesinde olan Dünya'yı bir ölümlü kurtarabilir mi? Yok olmak, esarete düşmekten daha mı iyidir?"
38;"Mars Yıllıkları";"Ray Bradbury";"The Martian Chronicles";"Barış Emre Alkım";2018;"Ray Bradbury sadece bilimkurgunun değil fantastik edebiyatın ve korkunun da yirminci yüzyıldaki ustalarından biri. Bilimkurgunun ""iyi edebiyat"" da olabileceğini kanıtlayan belki de ilk yazar. 1950'de yayımlanan Mars Yıllıkları ise insana dair yazılmış en naif ve en karanlık eserlerden biri.İnsanlık atom savaşlarının gölgesindeki, sorunlarla boğuşan Dünya'yı terk etmek için Mars'ta koloni kurmaya karar verir. İlk roketler umut dolu kızıl gezegene iniş yaptıklarında yolcular hiç beklemedikleri sorunlarla karşı karşıya kalır. Mars'ta yalnız değillerdir. Marslılar şekil değiştiren, zihin okuyan, belirli bir gelişmişlik seviyesine erişmiş canlılardır ve gezegene gelen bu istenmeyen ziyaretçiler için orada yeni bir hayat kurmak hiç kolay olmayacaktır.

Bradbury'nin yer yer ürkütücü yer yer dramatik anlatımı da burada sahne alır. Irkçılık ve hümanizm gibi fikirler Mars'ta kendine yer bulur. Yazar, âdeta tarihle ve insanlıkla yüzleşir.Bilimkurgu edebiyatının en önemli eserlerinden Mars Yıllıkları, okura insanlığın nihai düşmandan nereye giderse gitsin kurtulamayacağını sert ve vurucu bir biçimde anlatıyor: Kendisinden."
39;"Kadınlar Ülkesi";"Charlotte Perkins Gilman";"Herland";"Sevda Deniz Karali";2018;"Charlotte Perkins Gilman yaşadığı dönemin önde gelen hümanistlerinden ve kadın hakları savunucularından biri olmasının yanında feminist edebiyatın en önemli erken dönem temsilcilerinden. Yazıldıktan yaklaşık 65 sene sonra kitap formatında yayımlanabilen Kadınlar Ülkesi ise feminist ütopyanın ilk örneklerinden.

Birinci Dünya Savaşı'nın arifesinde üç Amerikalı erkek pek fazla insanın bulunmadığı, ücra bir yerde, tamamen kadınlardan oluşan bir topluluğa denk gelir. Gözlerine inanamayan kâşifler bu topraklarda erkeklerin de olması gerektiğine dair inançlarıyla araştırmalarına başlar.

Çok geçmeden bu gizemli ülke ile ilgili gerçekler bir bir açığa çıksa da misafirlerin merakı giderilmenin aksine daha da artar ve Kadınlar Ülkesi'nin yönetim biçiminden inançlarına, kültüründen ekonomisine ve hatta anneliğe kadar pek çok konuda bilgi sahibi olmaya ve toplumsal cinsiyet rollerini sorgulamaya başlarlar.

Toplumsal roller cinsiyete göre belirlenebilir mi? Kadınlık ve erkeklik değişmez kavramlar mıdır?

Kadınlar Ülkesi, ataerkilliğe verilmiş nüktedan bir yanıt."
40;"Yaban Diyarlardaki Yabancı";"Robert A. Heinlein";"Stranger in a Strange Land";"Kağan Çam";2018;"Robert A. Heinlein, Clarke ve Asimov'la birlikte Altın Çağ bilimkurgusuna damga vuran üç büyük ustadan biri. İdeolojisi ve bunu eserlerinde kullanma tarzıyla çağdaşlarından farklılaşan yazarın yalnızca kendi külliyatında değil bilimkurgu türünde yazılmış en önemli, en tartışmalı ve en sıra dışı romanlardan biri olan Yaban Diyarlarda Yabancı ise altkültür için bir dönüm noktası.

Mars'ta Marslılarca geliştirilmiş insan Valentine Michael Smith, Arz'a geleli çok olmamıştır. Kendi halkıyla ilk kez tanışan Smith, bu mavi gezegendeki geleneklere, insan ırkının önyargılarına alışmakta zorlansa da –telepati, telekinezi, teleport ve kehanet gibi– zihinsel güçleri sayesinde insanlar arasında âdeta bir mesih gibi dolaşır. En nihayetinde Mars yönetiminin varisidir.

Tüm bir gezegene ve ırka ""groklamayı"", sevgiyi ve su paylaşımını öğretecek bu Marslı, otoriteyle ve Mars'ın yönetimini isteyen bürokratlarla uğraşmak zorunda kalsa da yazar Jubal Harshaw'un yardımlarıyla amacına adım adım ilerleyecek ve kendi kilisesini kurarak ""serbest aşk""ı yaygınlaştırmaya devam edecek ve en nihayetinde –her mesihinki gibi– kaderiyle yüzleşecektir."
41;"Tanrıların Tohumu";"H.G. Wells";"The Food of the Gods";"Murat Karlıdağ";2019;"H. G. Wells, bilimkurgunun atası, türe adını altın harflerle yazdırmış en büyük yazarlardan. Zaman Makinesi, Görünmez Adam, Doktor Moreau'nun Adası ve Dünyalar Savaşı gibi eserleri ve düşünceleriyle âdeta zamanın ötesinden gelen bir yazar olan Wells, Tanrıların Tohumu'nda ters giden bilimsel gelişmelerin, kırılgan bir ırk olan insanlığı nasıl yıkıma sürükleyeceğini anlatıyor.

Sevimsiz oldukları söylenebilecek iki bilim insanı Profesör Redwood ve Bay Bensington gözden uzakta çalışmalarını sürdürüyorlardı. Bu sırada keşfettikleri Herakleophorbia, namı diğer Devtohumu ile insan evrimindeki en büyük gelişmenin altına imza attılar. Bu tohum sayesinde daha zeki, daha güçlü süper insanlar geliştirilebilecekti.

Ancak göz ardı ettikleri bir şey vardı: Bilim, insanlığa boyun eğmeyecekti. Bu icat sayesinde insanlar ve hayvanlar kontrolün ötesinde büyüyecek, bu besini tüketen devler ile normal toplum arasına sınırlar çekilecek ve bu farklılığın getirdiği kaos, insanlığı yavaş yavaş ele geçirecekti.

Wells'in 1904 yılında, yani genetiği değiştirilmiş besinlerin tüketilmeye başlamasından uzun yıllar önce yazdığı Tanrıların Tohumu, bilimkurgunun günümüz biliminin dahi kafa yorduğu konulara değinen gizli hazinelerinden biri."
42;"Andromeda Nebulası";"Ivan Yefremov";"Andromeda: A Space-Age Tale";"Hazal Yalın";2019;"""Ivan Yefremov, modern bilimkurgunun nasıl yazılması gerektiğini gösterip Sovyet bilimkurgusunun altın çağını başlattı."" –Boris Strugatski

Aynı zamanda bir biliminsanı olan Ivan Yefremov, Sovyet Rusya'da bilimkurgu edebiyatının öncülerinden biri. Başta Strugatski Kardeşler olmak üzere birçok Sovyet yazara ilham veren ve onlara yol gösteren belki de en önemli yazar. Andromeda Nebulası da sosyal içeriği ve Yefremov'un sahip olduğu bilimsel bakış açısıyla ilk modern Sovyet bilimkurgusu olarak kabul ediliyor.

Kimsenin aç kalmadığı, fakirliğin yok olduğu, sınıf ayrımının ortadan kalktığı, insanların potansiyellerinin zirvelerine ulaşmak için tüm imkânlara sahip oldukları klasik bir komünist ütopya anlatısı Andromeda Nebulası. Zamanın bilimsel gelişmelerini sonuna kadar kullanmakla kalmayıp geleceğin toplumları hakkında çağdaşı bilimkurguların ötesinde şeyler söylemeyi de beceren, bunu yaparken macera dolu bir hikâye anlatmayı ihmal etmeyen bir kitap."
43;"Yakın";"Octavia E. Butler";"Kindred";"Emek Ergun";2019;"1976 yılında Dana, yazar olma hayalleri kuruyordu. 1815'te ise bir köle olduğu varsayılıyordu.

Yalnızca kaleminin kuvveti değil aynı zamanda muhalif duruşu, hiyerarşiye baş kaldırması, ırk ve cinsiyet eşitsizliğine karşı tepkisiyle de döneminin en mühim yazarlarından biri olan tarihteki ilk kadın siyahi bilimkurgu yazarı Octavia E. Butler, hem bilimkurguda hem de Afroamerikan edebiyatında bir dönüm noktası. Sadece tür içerisinde değil, modern edebiyat okurları arasında ve hatta akademide dahi çok önemli bir yer tutan Yakın ise zaman yolculuğunun, fantazinin ve tarihi kurgunun iç içe geçtiği türler ötesi bir roman."
44;"Kumsalda";"Nevil Shute";"On the Beach";"Gizem Dinç";2019;"Döneminin en çok okunan yazarlarından Nevil Shute'un iki dünya savaşını da gören bir uçak mühendisi olduğunu bilince, edebiyatındaki, mesleğini seven, çalışkan, iyi niyetli ama dünyanın korkunçluğuyla karşı karşıya kalan çaresiz karakterlerini daha iyi anlayabiliyoruz. Ancak Nevil Shute sadece karamsar değildi, mühendisliğin, bilimin insan hayatını nasıl daha iyiye götürebileceğini de düşünen bir yazardı. Yayımlandığı zamanın korkularını açıkça görebileceğimiz Kumsalda, günümüzde de kendini unutturmayan ""büyük savaş"" endişesini ve bu savaşın kazananı olmayacağını anlatıyor.

Dünyadaki son nesil. Üçüncü Dünya Savaşı'nın masum kurbanları. Gittikçe yaklaşan radyoaktif bulut. Medeniyetin son günleri.Avustralya'ya sığınan Amerikan denizaltısı Scorpion'ın kaptanı Dwight Towers, eşiyle çocuklarının hala yaşadığına inanmak istiyordu. Yeni istihbarat subayı Peter Holmes ise kaçınılmaz sonu ailesiyle nasıl karşılayacağını düşünüyordu. Hayatını çalışarak, birçok arzusunu gerçekleştirmeye cesaret edemeden geçiren bilim insanı John Osborne ise kalan zamanını elinden geldiğince güzel geçirmeye kararlıydı.

Sonra bir umut: Seattle yakınlarından gelen bir sinyal. Belki de hayatta kalan birileri daha vardı. Son bir göreve çıkan bu adamlar ne olursa olsun pes etmeden kıyametle yüzleşeceklerdi."
45;"Kızıl Mars";"Kim Stanley Robinson";"Red Mars";"Sabri Gürses";2019;"Kim Stanley Robinson, günümüz bilimkurgusunun en büyük ustalarından biri. Özellikle uzay üzerine yazdığı romanlarla 90'lardan beri türün gelişimine katkıda bulunan yazarların en önde gelenlerinden. Dünyalaştırma ve kolonileşmeye bakış açımızı değiştiren Kızıl Mars ise hem bilimsel hem siyasi hem de sosyolojik açıdan şimdiye dek yazılmış en gerçekçi bilimkurgu romanlarının başında geliyor. İnsanlık artık Mars'ta; önce bir, sonra yüz ve giderek on binlerce insan… Şehirler kuruyor, tüneller kazıyor, sadece kraterlerden ve kayalıklardan ibaret görünen gezegeni kendi suretlerinde değiştiriyorlar. Ama cansız yüzeyini kazıdıkça Mars onları giderek daha fazla kendine bağlıyor, âşık ediyor.

En başından beri tüm kızıllığıyla bir hedef, amaç olarak beliren Mars eskiden bir güçtü, şimdiyse bir mekân: Amerika ve Rusya için yeni bir hegemonya alanı, Araplar için toplumsal baskıdan kaçış, İsviçreliler için bakir bir doğa ve üçüncü dünya için nüfuslarını aktaracakları bir koloni. Yine de akıllarda kalan bir soru var: Yeni yuvaya eskisinin sorunları da mı götürülecek, yoksa bu gezegen kendi fırsatlarını ve sorunlarını dayatarak yeni bir topluma mı can verecek? Mars'a gelenler için Dünya yalnızca geride bırakılmış bir yuva olarak mı kalacak, yoksa Kızıl Gezegen'in kaderinde yeni bir Dünya olmak mı var?"
46;"Postacı";"David Brin";"The Postman";"Sönmez Güven";2019;"Postacı, alternatif bakış açılarını benimsemede usta bir bilimkurgu yazarı olan David Brin'in erken dönem eserlerinden biri ve bir bakıma döneminin kasvetli gelecek düşüncelerine cevabı. Kendi sözleriyle, ""…ne kadar çok şeyi fazlaca önemsemeden varsaydığımızın, bugün bizi birbirimize bağlayan o küçük lütufların eksikliğini ne kadar çok çekeceğimizin hikâyesidir.""

Bazı yalanlar, gerçeğe dönüşmeye ya da onu kendilerince değiştirmeye eğilimlidir. İyi bir kurgu, hakkı verilmiş bir rol gerçeğe baskın çıkma potansiyeli barındırır. Kıyametsavaşı ertesinde umut, işte bu tür yalanlardan biriydi.

Uygarlığımız her an çökebilir. Hükümet, ordu dağılabilir. Öyle ki sanayi dünyası tek bir makinenin dahi çalışmadığı, giderek yabanileşen insanların yalıtılmış kasabalarda tıkılıp kaldığı ve kıtaların boylu boyunca kanunsuz topraklar halinde uzandığı bir cehenneme dönüşebilir. Ama umut; baştan başlamanın, arınmanın umudu bütün nükleer savaşlardan, toplu yıkımdan ve yalıtılmışlıktan sağ çıkmaya muktedir."
47;"Biz";"Yevgeni Zamyatin";"My";"Fatma Arıkan, Serdar Arıkan";2019;"Yevgeni Zamyatin ütopyaların nasıl tepetaklak olabileceğini fark eden belki de ilk yazar. Orwell, Huxley, Le Guin ve daha birçoğuna ütopyaya farklı, ters bir açıdan bakma ilhamını veren Biz ise ""distopya"" kelimesinin altını dolduran ve onca yıl sonra bile hakkını vermeye devam eden bir şaheser.

Yaşamın bitmez tükenmez kaosunun dizginlendiği bir gelecek… Bu gelecekte ne özgürlük ne demokrasi ne de birey; sadece matematik ve mantığın hükümranlığı geçerli. Mahremiyetlerini ve cezalandırılma hakkı dışındaki bütün haklarını Tek Devlet ve onun sureti Velinimet'in demir eline teslim eden insanlar ise sadece birer Numara'dan ibaret.Hem numaraların kutsal kitap yerine koydukları Saat Tableti'ne göre yaşadığı bu mutlak iktidarın hem de son devrimin diğer gezegenlere müjdelenmesi için camdan bir uzay aracı inşa edilir. İntegral adındaki bu aracın başmühendisi D-503, öteki gezegenlerdeki ilkel okurlarına Tek Devlet'i anlatmak üzere bir günlük tutmaya başlar.

Hayal gücü denen bir hastalıktan mustarip olduğunu düşünen D-503, kusursuz bildiği denklemde bazı hatalar, mutlak devrimde bazı eksiklikler fark eder. Bu hastalıktan kurtulmaya çalıştıkça inancını da kaybetmeye başlar."
